Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L10-Q001,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which lowercase letter matches B?,Choose one answer.,b,d,p,q,b,B matches b.,Use the letter name.,Listen carefully. Mixed review: Which lowercase letter matches B?,english-card,Uppercase B card and lowercase choices.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q002,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which word begins with /s/?,Choose one answer.,sun,cat,dog,pen,sun,Sun begins with /s/.,Listen to the first sound.,Listen carefully. Mixed review: Which word begins with /s/?,english-card,Picture cards with sun target.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q003,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which word matches a cat picture?,Choose one answer.,cat,cap,cup,cut,cat,Cat names the picture.,Look at the picture and the word.,Listen carefully. Mixed review: Which word matches a cat picture?,english-card,Cat picture and CVC word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q004,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which sentence makes sense?,Choose one answer.,The fish swims.,The fish reads.,The fish jumps a book.,Fish the swims.,The fish swims.,The fish swims makes sense.,Read the sentence aloud.,Listen carefully. Mixed review: Which sentence makes sense?,english-card,Fish swimming picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q005,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which word is the opposite of hot?,Choose one answer.,cold,big,red,fast,cold,Cold is the opposite of hot.,Think of opposite meanings.,Listen carefully. Mixed review: Which word is the opposite of hot?,english-card,Hot sun and cold ice cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q006,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Multiple Choice,Mixed review: Which word completes: I ___ a bird.,Choose one answer.,see,red,dog,to,see,I see a bird is correct.,Read the whole sentence.,Listen carefully. Mixed review: Which word completes: I ___ a bird.,english-card,Child looking at bird.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q007,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Match Pairs,Mixed review: Match uppercase and lowercase.,Match each item to its partner.,A = a,M = m,T = t,,A = a; M = m; T = t,"These pairs match: A = a, M = m, T = t.",Match one pair at a time.,Listen carefully. Mixed review: Match uppercase and lowercase.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q008,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Match Pairs,Mixed review: Match sounds and words.,Match each item to its partner.,b = ball,c = cat,s = sun,,b = ball; c = cat; s = sun,"These pairs match: b = ball, c = cat, s = sun.",Match one pair at a time.,Listen carefully. Mixed review: Match sounds and words.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q009,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Match Pairs,Mixed review: Match words and pictures.,Match each item to its partner.,dog = dog picture,cup = cup picture,fish = fish picture,,dog = dog picture; cup = cup picture; fish = fish picture,"These pairs match: dog = dog picture, cup = cup picture, fish = fish picture.",Match one pair at a time.,Listen carefully. Mixed review: Match words and pictures.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L10-Q010,English,1,forest-world,10,Mixed Review,"Review letters, sounds, words, sentences, and comprehension.","KSSR Year 1 English: consolidate beginning literacy, vocabulary, grammar, and simple reading.","Cambridge Primary English Stage 1: review early literacy skills across reading, vocabulary, and language use.",Match Pairs,Mixed review: Match opposites.,Match each item to its partner.,big = small,hot = cold,happy = sad,,big = small; hot = cold; happy = sad,"These pairs match: big = small, hot = cold, happy = sad.",Match one pair at a time.,Listen carefully. Mixed review: Match opposites.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
