Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L03-Q001,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of a cat?,Choose one answer.,cat,dog,sun,bus,cat,The word cat names the picture.,"Look at the picture, then read each word.",Listen carefully. Which word matches the picture of a cat?,english-card,A clear picture of one cat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q002,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of a dog?,Choose one answer.,hat,dog,bag,cup,dog,The word dog names the picture.,Read the first sound.,Listen carefully. Which word matches the picture of a dog?,english-card,A clear picture of one dog.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q003,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of the sun?,Choose one answer.,sun,bus,fish,bird,sun,The word sun matches the picture.,Sun starts with s.,Listen carefully. Which word matches the picture of the sun?,english-card,A bright sun picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q004,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of a bus?,Choose one answer.,bag,bus,cat,pen,bus,The word bus names the picture.,Bus begins with b.,Listen carefully. Which word matches the picture of a bus?,english-card,A simple yellow bus picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q005,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of a hat?,Choose one answer.,cup,map,hat,tree,hat,The word hat names the picture.,Hat starts with h.,Listen carefully. Which word matches the picture of a hat?,english-card,A hat picture on a card.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q006,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Multiple Choice,Which word matches the picture of a fish?,Choose one answer.,fish,bird,tree,bag,fish,The word fish names the picture.,Fish starts with f.,Listen carefully. Which word matches the picture of a fish?,english-card,A fish picture on a card.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q007,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Match Pairs,Match each word to its picture.,Match each item to its partner.,cat = cat picture,dog = dog picture,sun = sun picture,,cat = cat picture; dog = dog picture; sun = sun picture,"These pairs match: cat = cat picture, dog = dog picture, sun = sun picture.",Match one pair at a time.,Listen carefully. Match each word to its picture.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q008,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Match Pairs,Match the word cards to the picture cards.,Match each item to its partner.,bus = bus picture,hat = hat picture,bag = bag picture,,bus = bus picture; hat = hat picture; bag = bag picture,"These pairs match: bus = bus picture, hat = hat picture, bag = bag picture.",Match one pair at a time.,Listen carefully. Match the word cards to the picture cards.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q009,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Match Pairs,Match words and pictures.,Match each item to its partner.,cup = cup picture,pen = pen picture,fish = fish picture,,cup = cup picture; pen = pen picture; fish = fish picture,"These pairs match: cup = cup picture, pen = pen picture, fish = fish picture.",Match one pair at a time.,Listen carefully. Match words and pictures.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L03-Q010,English,1,forest-world,3,Word and Picture Matching,Read simple familiar words.,KSSR Year 1 English: recognise and read high-frequency familiar words with visual support.,Cambridge Primary English Stage 1: read simple words and connect print to meaning.,Match Pairs,Match each animal word to the picture.,Match each item to its partner.,cat = cat picture,dog = dog picture,bird = bird picture,,cat = cat picture; dog = dog picture; bird = bird picture,"These pairs match: cat = cat picture, dog = dog picture, bird = bird picture.",Match one pair at a time.,Listen carefully. Match each animal word to the picture.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
