Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L09-Q001,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word is an animal?,Choose one answer.,cat,cup,pen,bag,cat,Cat is an animal.,Think about living things.,Listen carefully. Which word is an animal?,english-card,Animal and object picture cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q002,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word is a colour?,Choose one answer.,run,blue,dog,book,blue,Blue is a colour.,Colour words tell what something looks like.,Listen carefully. Which word is a colour?,english-card,Blue colour card with word choices.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q003,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word is the opposite of big?,Choose one answer.,hot,small,red,fast,small,Small is the opposite of big.,Opposites have different meanings.,Listen carefully. Which word is the opposite of big?,english-card,Big and small object cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q004,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word is an action?,Choose one answer.,jump,apple,cat,green,jump,Jump is an action.,Can you do it?,Listen carefully. Which word is an action?,english-card,Child jumping and object cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q005,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word belongs with fruit?,Choose one answer.,apple,chair,dog,bus,apple,Apple is a fruit.,Use the category clue.,Listen carefully. Which word belongs with fruit?,english-card,Fruit basket and object cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q006,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word describes a happy face?,Choose one answer.,sad,happy,cold,blue,happy,Happy describes the face.,Look at the feeling.,Listen carefully. Which word describes a happy face?,english-card,Happy face picture with feeling words.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q007,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Multiple Choice,Which word is a school object?,Choose one answer.,pencil,fish,tree,cake,pencil,A pencil is used at school.,Think about classroom things.,Listen carefully. Which word is a school object?,english-card,School objects and nature/food cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q008,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Match Pairs,Match opposites.,Match each item to its partner.,big = small,hot = cold,happy = sad,,big = small; hot = cold; happy = sad,"These pairs match: big = small, hot = cold, happy = sad.",Match one pair at a time.,Listen carefully. Match opposites.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q009,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Match Pairs,Match categories.,Match each item to its partner.,cat = animal,apple = fruit,pencil = school object,,cat = animal; apple = fruit; pencil = school object,"These pairs match: cat = animal, apple = fruit, pencil = school object.",Match one pair at a time.,Listen carefully. Match categories.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L09-Q010,English,1,forest-world,9,Vocabulary Builder,Build useful English vocabulary.,"KSSR Year 1 English: expand vocabulary for people, places, objects, actions, and descriptions.",Cambridge Primary English Stage 1: develop vocabulary and word meaning through familiar contexts.,Match Pairs,Match action words to pictures.,Match each item to its partner.,run = running picture,jump = jumping picture,eat = eating picture,,run = running picture; jump = jumping picture; eat = eating picture,"These pairs match: run = running picture, jump = jumping picture, eat = eating picture.",Match one pair at a time.,Listen carefully. Match action words to pictures.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
