Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L04-Q001,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Blend the sounds /c/ /a/ /t/. Which word?,Choose one answer.,cat,cot,cut,can,cat,/c/ /a/ /t/ blends into cat.,"Say each sound, then say it faster.",Listen carefully. Blend the sounds /c/ /a/ /t/. Which word?,english-card,Sound boxes c-a-t with a cat picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q002,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Which word matches /p/ /e/ /n/?,Choose one answer.,pin,pan,pen,pet,pen,/p/ /e/ /n/ blends into pen.,Listen for the middle sound.,Listen carefully. Which word matches /p/ /e/ /n/?,english-card,Sound boxes p-e-n with a pen picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q003,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Which CVC word names the picture of a sun?,Choose one answer.,sun,run,bun,fun,sun,The picture shows sun.,Sun begins with s.,Listen carefully. Which CVC word names the picture of a sun?,english-card,Sun picture with four CVC word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q004,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Which word rhymes with cat?,Choose one answer.,dog,bat,sun,pen,bat,Cat and bat both end with -at.,Listen to the ending sound.,Listen carefully. Which word rhymes with cat?,english-card,Cat and bat picture cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q005,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Which word is a CVC word?,Choose one answer.,cat,tree,play,shoe,cat,Cat has consonant-vowel-consonant sounds.,CVC words often have three sounds.,Listen carefully. Which word is a CVC word?,english-card,Word cards with cat highlighted after answering.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q006,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Multiple Choice,Which word matches the picture of a fox?,Choose one answer.,fix,fax,fox,box,fox,The picture shows a fox.,Check the middle vowel.,Listen carefully. Which word matches the picture of a fox?,english-card,A fox picture with similar word choices.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q007,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Match Pairs,Match each CVC word to its picture.,Match each item to its partner.,cat = cat picture,pen = pen picture,sun = sun picture,,cat = cat picture; pen = pen picture; sun = sun picture,"These pairs match: cat = cat picture, pen = pen picture, sun = sun picture.",Match one pair at a time.,Listen carefully. Match each CVC word to its picture.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q008,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Match Pairs,Match rhyming CVC words.,Match each item to its partner.,cat = bat,pen = hen,sun = run,,cat = bat; pen = hen; sun = run,"These pairs match: cat = bat, pen = hen, sun = run.",Match one pair at a time.,Listen carefully. Match rhyming CVC words.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q009,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Match Pairs,Match each word family.,Match each item to its partner.,mat = -at,hen = -en,cup = -up,,mat = -at; hen = -en; cup = -up,"These pairs match: mat = -at, hen = -en, cup = -up.",Match one pair at a time.,Listen carefully. Match each word family.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L04-Q010,English,1,forest-world,4,CVC Words,Blend three-letter CVC words.,KSSR Year 1 English: blend phonemes and read simple CVC words.,Cambridge Primary English Stage 1: apply phonics to read and spell simple words.,Match Pairs,Match word and picture.,Match each item to its partner.,bug = bug picture,fox = fox picture,cup = cup picture,,bug = bug picture; fox = fox picture; cup = cup picture,"These pairs match: bug = bug picture, fox = fox picture, cup = cup picture.",Match one pair at a time.,Listen carefully. Match word and picture.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
