Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L02-Q001,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which word begins with /b/?,Choose one answer.,ball,sun,cat,fish,ball,Ball begins with the /b/ sound.,Say the first sound slowly: /b/.,Listen carefully. Which word begins with /b/?,english-card,"Picture cards for ball, sun, cat, and fish.",Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q002,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which word begins with /s/?,Choose one answer.,moon,sun,dog,pen,sun,Sun begins with /s/.,Listen to the first sound.,Listen carefully. Which word begins with /s/?,english-card,"Picture cards for moon, sun, dog, and pen.",Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q003,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which letter makes the first sound in cat?,Choose one answer.,b,c,d,m,c,Cat begins with c.,Cat starts with /c/.,Listen carefully. Which letter makes the first sound in cat?,english-card,A cat picture with the first sound highlighted.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q004,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which word begins with /f/?,Choose one answer.,fish,van,apple,tiger,fish,Fish begins with /f/.,Put your teeth on your lip gently for /f/.,Listen carefully. Which word begins with /f/?,english-card,"Picture cards for fish, van, apple, and tiger.",Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q005,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which letter starts dog?,Choose one answer.,b,d,p,t,d,Dog starts with d.,Say dog and listen to the first sound.,Listen carefully. Which letter starts dog?,english-card,Dog picture and four letter cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q006,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Multiple Choice,Which word begins with /p/?,Choose one answer.,pen,moon,cat,sun,pen,Pen begins with /p/.,The /p/ sound is quick and soft.,Listen carefully. Which word begins with /p/?,english-card,Picture cards with pen as the target.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q007,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Match Pairs,Match the letter to the beginning word.,Match each item to its partner.,a = apple,b = ball,c = cat,,a = apple; b = ball; c = cat,"These pairs match: a = apple, b = ball, c = cat.",Match one pair at a time.,Listen carefully. Match the letter to the beginning word.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q008,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Match Pairs,Match each sound letter to a word.,Match each item to its partner.,d = dog,f = fish,m = moon,,d = dog; f = fish; m = moon,"These pairs match: d = dog, f = fish, m = moon.",Match one pair at a time.,Listen carefully. Match each sound letter to a word.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q009,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Match Pairs,Match the first letter to the picture word.,Match each item to its partner.,p = pen,s = sun,t = tiger,,p = pen; s = sun; t = tiger,"These pairs match: p = pen, s = sun, t = tiger.",Match one pair at a time.,Listen carefully. Match the first letter to the picture word.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L02-Q010,English,1,forest-world,2,Letter Sounds,Recognise common beginning sounds.,KSSR Year 1 English: listen to and recognise initial sounds in familiar words.,Cambridge Primary English Stage 1: use phonics to connect sounds and letters in simple words.,Match Pairs,Match these beginning sounds.,Match each item to its partner.,v = van,r = robot,h = hat,,v = van; r = robot; h = hat,"These pairs match: v = van, r = robot, h = hat.",Match one pair at a time.,Listen carefully. Match these beginning sounds.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
