Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L01-Q001,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,Find the capital letter that says /a/.,Choose the uppercase card.,A,c,m,s,A,A is the capital shape for the letter a.,Capital letters are tall letter signs.,Look at each card. Tap the big A because it names the /a/ sound.,letter cards,Four letter cards with A highlighted after the answer.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q002,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,Which card shows small b?,Choose the lowercase b.,B,b,h,p,b,Small b has a tall line and a round tummy.,Trace the letter shape with your eyes.,Find small b. It has one tall stick and one round part.,letter cards,Four cards showing B b h p with small b highlighted after the answer.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q003,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,"After C, what letter do we say next?",Pick the next alphabet letter.,A,B,D,F,D,"The alphabet goes A, B, C, then D.",Say the alphabet softly before choosing.,"Say A, B, C. The next letter you hear is D.",alphabet path,A short alphabet path A B C D with D glowing after the answer.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q004,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,The letter before T is hiding. Which one is it?,Choose the letter that comes just before T.,R,S,U,Y,S,Alphabet order places S right before T.,Move one step back on the alphabet path.,Look near T. The letter just before it is S.,alphabet path,A mini path R S T with S highlighted as the previous letter.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q005,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,M has a lowercase partner. Tap it.,Choose the matching lowercase letter.,n,m,w,r,m,Uppercase M and lowercase m share the same letter name.,"Match the name first, then the size.",M can look big or small. The small partner is m.,case match,Large M beside four lowercase choices with m highlighted after the answer.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q006,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Multiple Choice,p needs its capital letter. Which one matches?,Choose the uppercase partner.,P,R,K,B,P,P is the capital form that matches lowercase p.,Turn the little letter into its big shape.,Look at p. Its capital partner is P.,case match,Lowercase p points to uppercase options P R K B with P highlighted.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q007,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Match Pairs,Pair each capital letter with its small letter.,Match all three pairs.,A = a,B = b,C = c,,A = a; B = b; C = c,Each capital letter pairs with the same lowercase letter name.,"Start with one easy pair, then continue.","Match A with a, B with b, and C with c.",match pairs,Three uppercase cards and three lowercase cards arranged for pairing.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q008,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Match Pairs,Help the forest signs find their lowercase partners.,Match the letter pairs.,M = m,S = s,T = t,,M = m; S = s; T = t,The big and small signs keep the same letter names.,Say the letter name before you pair.,Find M with m. Then match S with s and T with t.,match pairs,Forest sign cards showing M S T and lowercase m s t for matching.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q009,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Match Pairs,Match the leaf cards with the same letters.,Pair the uppercase and lowercase cards.,P = p,R = r,N = n,,P = p; R = r; N = n,Letters can change size but keep their names.,Look for the same sound in each pair.,"Pair P with p, R with r, and N with n.",match pairs,Leaf cards with P R N on one side and p r n on the other.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
ENG-Y1-FW-L01-Q010,English,1,forest-world,1,Alphabet Recognition,Recognise uppercase and lowercase letters.,KSSR Year 1 English: recognise and name letters of the alphabet and connect letters to early reading.,"Cambridge Primary English Stage 1: identify letters, print concepts, and simple alphabet knowledge.",Match Pairs,Join each alphabet card to its tiny match.,Complete the three matches.,D = d,E = e,F = f,,D = d; E = e; F = f,"Capital D, E, and F match their small forms.","Check the letter name, not the colour.","Match D to d, E to e, and F to f.",match pairs,Three bright alphabet cards D E F with lowercase d e f cards below.,Easy,10,Approved,1.0.0,Optimized Level 1 review wording
