Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L06-Q001,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Which sentence matches the picture of a cat?,Choose one answer.,I see a cat.,I see a bus.,I see a sun.,I see a pen.,I see a cat.,"The picture shows a cat, so I see a cat matches.",Match the sentence to the picture.,Listen carefully. Which sentence matches the picture of a cat?,english-card,Picture of a cat with four sentence cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q002,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Choose the sentence that makes sense.,Choose one answer.,The dog runs.,The dog book.,Runs the.,Dog the runs.,The dog runs.,The dog runs is a complete sentence.,A sentence should make sense.,Listen carefully. Choose the sentence that makes sense.,english-card,Dog running picture and sentence cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q003,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Which word completes: My bag is ___.,Choose one answer.,red,run,cat,go,red,My bag is red describes the bag.,Choose the describing word.,Listen carefully. Which word completes: My bag is ___.,english-card,Red bag picture with sentence My bag is blank.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q004,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Which sentence has correct word order?,Choose one answer.,Can we go.,We go can.,We can go.,Go we can.,We can go.,We can go is the correct order.,Read each choice aloud.,Listen carefully. Which sentence has correct word order?,english-card,Children walking on a path with word cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q005,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Which sentence matches a hot sun picture?,Choose one answer.,It is cold.,It is hot.,It is wet.,It is big.,It is hot.,A hot sun picture matches It is hot.,Use the picture clue.,Listen carefully. Which sentence matches a hot sun picture?,english-card,Hot sun picture with weather sentence cards.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q006,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Multiple Choice,Which sentence starts with a capital letter?,Choose one answer.,i see a cat.,I see a cat.,i See a cat.,see I a cat.,I see a cat.,A sentence starts with a capital letter.,Look at the first letter.,Listen carefully. Which sentence starts with a capital letter?,english-card,Sentence cards with capital I highlighted.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q007,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Match Pairs,Match pictures to sentences.,Match each item to its partner.,cat picture = I see a cat.,dog picture = The dog runs.,red bag picture = My bag is red.,,cat picture = I see a cat.; dog picture = The dog runs.; red bag picture = My bag is red.,"These pairs match: cat picture = I see a cat., dog picture = The dog runs., red bag picture = My bag is red..",Match one pair at a time.,Listen carefully. Match pictures to sentences.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q008,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Match Pairs,Match sentence starts and endings.,Match each item to its partner.,I see = a bird.,The dog = runs.,It is = hot.,,I see = a bird.; The dog = runs.; It is = hot.,"These pairs match: I see = a bird., The dog = runs., It is = hot..",Match one pair at a time.,Listen carefully. Match sentence starts and endings.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q009,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Match Pairs,Match each sentence to its meaning.,Match each item to its partner.,I like apples. = I enjoy apples.,We can go. = We are able to go.,This is my bag. = The bag belongs to me.,,I like apples. = I enjoy apples.; We can go. = We are able to go.; This is my bag. = The bag belongs to me.,"These pairs match: I like apples. = I enjoy apples., We can go. = We are able to go., This is my bag. = The bag belongs to me..",Match one pair at a time.,Listen carefully. Match each sentence to its meaning.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L06-Q010,English,1,forest-world,6,Simple Sentences,Read simple subject-verb-object sentences.,KSSR Year 1 English: understand and produce simple sentences with familiar vocabulary.,Cambridge Primary English Stage 1: read and respond to simple sentence meanings.,Match Pairs,Match words to sentence roles.,Match each item to its partner.,cat = naming word,runs = action word,red = describing word,,cat = naming word; runs = action word; red = describing word,"These pairs match: cat = naming word, runs = action word, red = describing word.",Match one pair at a time.,Listen carefully. Match words to sentence roles.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
