Question ID,Subject,Year,World,Level,Topic,Learning Objective,Curriculum Alignment,Cambridge Alignment,Question Type,Question,Instructions,Option A,Option B,Option C,Option D,Correct Answer,Explanation,LearnBot Tip,Voice Script,Visual Type,Visual Description,Difficulty,XP,Status,Version,QA Notes
ENG-Y1-FW-L08-Q001,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: Sam has a red ball. What does Sam have?,Choose one answer.,a red ball,a blue bag,a cat,a pen,a red ball,The text says Sam has a red ball.,Find the answer in the sentence.,Listen carefully. Read: Sam has a red ball. What does Sam have?,english-card,Sam holding a red ball.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q002,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: Mia sees a cat. Who sees a cat?,Choose one answer.,Tom,Mia,Dad,Ben,Mia,Mia sees the cat.,Who asks about a person.,Listen carefully. Read: Mia sees a cat. Who sees a cat?,english-card,Mia looking at a cat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q003,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: The dog is under the tree. Where is the dog?,Choose one answer.,on the bus,under the tree,in the bag,by the sun,under the tree,The text says under the tree.,Where asks about place.,Listen carefully. Read: The dog is under the tree. Where is the dog?,english-card,Dog under a tree.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q004,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: I eat an apple. What do I eat?,Choose one answer.,a fish,a cup,an apple,a book,an apple,The text says I eat an apple.,What asks about a thing.,Listen carefully. Read: I eat an apple. What do I eat?,english-card,Child eating an apple.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q005,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: The bird can fly. What can the bird do?,Choose one answer.,swim,fly,read,sleep,fly,The bird can fly.,Look for the action word.,Listen carefully. Read: The bird can fly. What can the bird do?,english-card,Bird flying.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q006,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: It is a hot day. What is the day like?,Choose one answer.,hot,cold,wet,small,hot,The text says hot day.,Find the describing word.,Listen carefully. Read: It is a hot day. What is the day like?,english-card,Hot sunny day scene.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q007,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: Ben goes to school. Where does Ben go?,Choose one answer.,home,school,park,shop,school,Ben goes to school.,Where asks about a place.,Listen carefully. Read: Ben goes to school. Where does Ben go?,english-card,Ben walking to school.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q008,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Multiple Choice,Read: The cat is small. What is small?,Choose one answer.,cat,dog,bus,tree,cat,The cat is small.,Read the naming word.,Listen carefully. Read: The cat is small. What is small?,english-card,Small cat picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q009,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Match Pairs,Match questions to answers from short texts.,Match each item to its partner.,Who? = Mia,What? = red ball,Where? = under the tree,,Who? = Mia; What? = red ball; Where? = under the tree,"These pairs match: Who? = Mia, What? = red ball, Where? = under the tree.",Match one pair at a time.,Listen carefully. Match questions to answers from short texts.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q010,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Match Pairs,Match story clues.,Match each item to its partner.,Sam has = a red ball,The bird can = fly,Ben goes to = school,,Sam has = a red ball; The bird can = fly; Ben goes to = school,"These pairs match: Sam has = a red ball, The bird can = fly, Ben goes to = school.",Match one pair at a time.,Listen carefully. Match story clues.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q011,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Match Pairs,Match text and picture.,Match each item to its partner.,cat is small = small cat picture,hot day = sunny picture,dog under tree = dog under tree picture,,cat is small = small cat picture; hot day = sunny picture; dog under tree = dog under tree picture,"These pairs match: cat is small = small cat picture, hot day = sunny picture, dog under tree = dog under tree picture.",Match one pair at a time.,Listen carefully. Match text and picture.,english-card,A set of child-friendly pair cards arranged in two columns.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q012,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Tap Correct,Tap the answer. Read: A fish swims. What swims?,Tap the correct answer.,cat,fish,bird,dog,fish,The correct answer is fish.,Find the thing doing the action.,Listen carefully. Tap the answer. Read: A fish swims. What swims?,english-card,Fish swimming picture with short text.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q013,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Tap Correct,Tap the answer. Read: The bag is blue. What colour is the bag?,Tap the correct answer.,red,blue,green,yellow,blue,The correct answer is blue.,Look for the colour word.,Listen carefully. Tap the answer. Read: The bag is blue. What colour is the bag?,english-card,Blue bag picture with sentence.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q014,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Tap Correct,Tap where Tom is. Read: Tom is at the park.,Tap the correct answer.,home,school,park,shop,park,The correct answer is park.,Where asks about place.,Listen carefully. Tap where Tom is. Read: Tom is at the park.,english-card,Tom in a park scene.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q015,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Tap Correct,Tap who has a hat. Read: Lina has a hat.,Tap the correct answer.,Lina,Sam,Ben,Mia,Lina,The correct answer is Lina.,Who asks for a name.,Listen carefully. Tap who has a hat. Read: Lina has a hat.,english-card,Lina holding a hat.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q016,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Tap Correct,Tap what the dog does. Read: The dog runs.,Tap the correct answer.,runs,eats,sleeps,reads,runs,The correct answer is runs.,Find the action word.,Listen carefully. Tap what the dog does. Read: The dog runs.,english-card,Dog running scene.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q017,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Fill Missing Word,Read: I see a red ___. Picture: red ball.,Type the missing word.,,,,,ball,The missing word is ball.,Use the picture and text together.,Listen carefully. Read: I see a red ___. Picture: red ball.,english-card,Red ball picture with sentence.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q018,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Fill Missing Word,Read: The cat is ___. Picture: small cat.,Type the missing word.,,,,,small,The missing word is small.,Use the picture clue.,Listen carefully. Read: The cat is ___. Picture: small cat.,english-card,Small cat picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q019,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Fill Missing Word,Read: Ben goes to ___. Picture: school.,Type the missing word.,,,,,school,Ben goes to school.,Where does Ben go?,Listen carefully. Read: Ben goes to ___. Picture: school.,english-card,School building picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q020,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Fill Missing Word,Read: The bird can ___. Picture: bird flying.,Type the missing word.,,,,,fly,The bird can fly.,Find the action.,Listen carefully. Read: The bird can ___. Picture: bird flying.,english-card,Bird flying picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q021,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Fill Missing Word,Read: The dog is under the ___.,Type the missing word.,,,,,tree,The dog is under the tree.,Look for the place object.,Listen carefully. Read: The dog is under the ___.,english-card,Dog under a tree picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q022,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Text Input,Read: Mia sees a cat. Type who sees a cat.,Type the answer.,,,,,Mia,Mia sees a cat.,Who is the person?,Listen carefully. Read: Mia sees a cat. Type who sees a cat.,english-card,Mia with cat picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q023,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Text Input,Read: Sam has a red ball. Type what Sam has.,Type the answer.,,,,,red ball,Sam has a red ball.,Copy the answer from the text.,Listen carefully. Read: Sam has a red ball. Type what Sam has.,english-card,Sam holding red ball.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q024,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Text Input,Read: The fish swims. Type the action word.,Type the answer.,,,,,swims,Swims is the action.,What does the fish do?,Listen carefully. Read: The fish swims. Type the action word.,english-card,Fish swimming.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q025,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Text Input,Read: It is hot. Type the describing word.,Type the answer.,,,,,hot,Hot describes the weather.,Find the word that tells what it is like.,Listen carefully. Read: It is hot. Type the describing word.,english-card,Hot sun picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
ENG-Y1-FW-L08-Q026,English,1,forest-world,8,Reading Comprehension,Read very short texts.,KSSR Year 1 English: understand short simple texts with support.,Cambridge Primary English Stage 1: retrieve simple information from short texts.,Text Input,Read: Ben goes to school. Type where Ben goes.,Type the answer.,,,,,school,Ben goes to school.,Where means place.,Listen carefully. Read: Ben goes to school. Type where Ben goes.,english-card,Ben at school picture.,Easy,10,Review,1.0.0,Review by English educator before approval. Not active in gameplay.
