Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L01-Q001,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers 1–10,Recognise the number that comes after 1.,Easy,Multiple Choice,What number comes after 1?,number path,"A forest stepping-stone number path showing 1, then an empty next stone for the child to choose 2.",2,3,4,,2,Start at number 1.,Move one step forward on the number path.,The next number is 2.,The correct answer is 2.,Great start! Counting forward means moving to the next number.,Yes,KSSR,20,Yes,Let's solve it together. Start at number 1. Move one step forward on the number path. The next number is 2.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q002,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Counting objects 1–10,Count a small group of objects and match it to a number.,Easy,Multiple Choice,Count the apples. How many apples are there?,apple,Show exactly 3 red apples in a small forest basket.,2,3,4,,3,Look carefully at the apples.,"Count each apple one by one: 1, 2, 3.",Match the total to the number 3.,The correct answer is 3.,Point to each apple as you count so you do not miss any.,Yes,KSSR,25,Yes,"Let's solve it together. Look carefully at the apples. Count each apple one by one: 1, 2, 3. Match the total to the number 3.",,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q003,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers before and after,Recognise the number that comes before 5.,Easy,Multiple Choice,What number comes before 5?,number path,"Show a simple number path with 3, 4, 5. Highlight 5 and show the step just before it.",4,6,3,,4,Find number 5 on the number path.,Look one step to the left before 5.,The number before 5 is 4.,The correct answer is 4.,"When a question says before, look one step back.",Yes,KSSR,20,Yes,Let's solve it together. Find number 5 on the number path. Look one step to the left before 5. The number before 5 is 4.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q004,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Easy,Multiple Choice,Count the balls. How many balls are there?,ball,Show exactly 5 balls in a clear forest scene.,4,5,6,,5,Look at the objects.,Count each ball one by one.,The total is 5.,The correct answer is 5.,Point to each ball once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each ball one by one. The total is 5.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q005,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Easy,Multiple Choice,Count the flowers. How many flowers are there?,flower,Show exactly 6 flowers in a clear forest scene.,5,6,7,,6,Look at the objects.,Count each flower one by one.,The total is 6.,The correct answer is 6.,Point to each flower once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each flower one by one. The total is 6.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q006,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Medium,Multiple Choice,Count the oranges. How many oranges are there?,orange,Show exactly 7 oranges in a clear forest scene.,6,7,8,,7,Look at the objects.,Count each orange one by one.,The total is 7.,The correct answer is 7.,Point to each orange once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each orange one by one. The total is 7.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q007,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Medium,Multiple Choice,Count the fish. How many fish are there?,fish,Show exactly 8 fish in a clear forest scene.,7,8,9,,8,Look at the objects.,Count each fish one by one.,The total is 8.,The correct answer is 8.,Point to each fish once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each fish one by one. The total is 8.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q008,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Medium,Multiple Choice,Count the leaves. How many leaves are there?,leaf,Show exactly 9 leaves in a clear forest scene.,8,9,10,,9,Look at the objects.,Count each leaf one by one.,The total is 9.,The correct answer is 9.,Point to each leaf once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each leaf one by one. The total is 9.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q009,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Medium,Multiple Choice,Count the birds. How many birds are there?,bird,Show exactly 10 birds in a clear forest scene.,9,10,11,,10,Look at the objects.,Count each bird one by one.,The total is 10.,The correct answer is 10.,Point to each bird once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each bird one by one. The total is 10.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q010,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Numbers and counting 1–10,Recognise and count numbers from 1 to 10.,Easy,Multiple Choice,Count the shells. How many shells are there?,shell,Show exactly 1 shell in a clear forest scene.,1,1,2,,1,Look at the objects.,Count each shell one by one.,The total is 1.,The correct answer is 1.,Point to each shell once as you count.,Yes,KSSR,25,Yes,Let's solve it together. Look at the objects. Count each shell one by one. The total is 1.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q011,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 1, 2, __, 4.",number path,"Show forest stepping stones labelled 1, 2, __, 4.",,,,,3,Read the numbers in order.,Count forward to find the blank.,The missing number is 3.,The correct answer is 3.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 3.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q012,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 2, 3, __, 5.",number path,"Show forest stepping stones labelled 2, 3, __, 5.",,,,,4,Read the numbers in order.,Count forward to find the blank.,The missing number is 4.,The correct answer is 4.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 4.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q013,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 3, 4, __, 6.",number path,"Show forest stepping stones labelled 3, 4, __, 6.",,,,,5,Read the numbers in order.,Count forward to find the blank.,The missing number is 5.,The correct answer is 5.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 5.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q014,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 4, 5, __, 7.",number path,"Show forest stepping stones labelled 4, 5, __, 7.",,,,,6,Read the numbers in order.,Count forward to find the blank.,The missing number is 6.,The correct answer is 6.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 6.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q015,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 5, 6, __, 8.",number path,"Show forest stepping stones labelled 5, 6, __, 8.",,,,,7,Read the numbers in order.,Count forward to find the blank.,The missing number is 7.,The correct answer is 7.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 7.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L01-Q016,v1.0,Review,Mathematics,Year 1,Forest World,Level 01,Number Recognition,Number sequence,Find missing numbers in a sequence.,Easy,Fill Missing Number,"Fill in the missing number: 6, 7, __, 9.",number path,"Show forest stepping stones labelled 6, 7, __, 9.",,,,,8,Read the numbers in order.,Count forward to find the blank.,The missing number is 8.,The correct answer is 8.,A blank is like an empty step on the path.,Yes,KSSR,30,Yes,Let's solve it together. Read the numbers in order. Count forward to find the blank. The missing number is 8.,,Pending,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
