Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L05-Q001,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,1 apple plus 1 more apples. How many apples altogether?,apple,"Show 1 apple + 1 apple = 2. Use a plus sign, never 'or'.",1,2,3,,2,Start with 1 apple.,Add 1 more apples.,Count all: 2.,The correct answer is 2.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 1 apple. Add 1 more apples. Count all: 2.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q002,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,2 stars plus 1 more stars. How many stars altogether?,star,"Show 2 stars + 1 star = 3. Use a plus sign, never 'or'.",2,3,4,,3,Start with 2 stars.,Add 1 more stars.,Count all: 3.,The correct answer is 3.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 stars. Add 1 more stars. Count all: 3.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q003,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,2 oranges plus 2 more oranges. How many oranges altogether?,orange,"Show 2 oranges + 2 oranges = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 2 oranges.,Add 2 more oranges.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 oranges. Add 2 more oranges. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q004,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,3 fish plus 1 more fish. How many fish altogether?,fish,"Show 3 fish + 1 fish = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 3 fish.,Add 1 more fish.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 fish. Add 1 more fish. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q005,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,3 flowers plus 2 more flowers. How many flowers altogether?,flower,"Show 3 flowers + 2 flowers = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 3 flowers.,Add 2 more flowers.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 flowers. Add 2 more flowers. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q006,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,4 ducks plus 1 more ducks. How many ducks altogether?,duck,"Show 4 ducks + 1 duck = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 4 ducks.,Add 1 more ducks.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 ducks. Add 1 more ducks. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q007,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,4 leaves plus 2 more leaves. How many leaves altogether?,leaf,"Show 4 leaves + 2 leaves = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 4 leaves.,Add 2 more leaves.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 leaves. Add 2 more leaves. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q008,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,5 shells plus 1 more shells. How many shells altogether?,shell,"Show 5 shells + 1 shell = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 5 shells.,Add 1 more shells.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 shells. Add 1 more shells. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q009,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Multiple Choice,5 berries plus 2 more berries. How many berries altogether?,berry,"Show 5 berries + 2 berries = 7. Use a plus sign, never 'or'.",6,7,8,,7,Start with 5 berries.,Add 2 more berries.,Count all: 7.,The correct answer is 7.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 berries. Add 2 more berries. Count all: 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q010,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Multiple Choice,6 balls plus 1 more balls. How many balls altogether?,ball,"Show 6 balls + 1 ball = 7. Use a plus sign, never 'or'.",6,7,8,,7,Start with 6 balls.,Add 1 more balls.,Count all: 7.,The correct answer is 7.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 6 balls. Add 1 more balls. Count all: 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q011,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,1 apple plus 3 more apples. How many apples altogether?,apple,"Show 1 apple + 3 apples = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 1 apple.,Add 3 more apples.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 1 apple. Add 3 more apples. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q012,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Multiple Choice,2 stars plus 4 more stars. How many stars altogether?,star,"Show 2 stars + 4 stars = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 2 stars.,Add 4 more stars.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 stars. Add 4 more stars. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q013,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Easy,Count & Type,Count all the oranges. Type the answer.,orange,"Show 3 oranges + 3 oranges = 6. Use a plus sign, never 'or'.",,,,,6,Start with 3 oranges.,Add 3 more oranges.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 oranges. Add 3 more oranges. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q014,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Count & Type,Count all the fish. Type the answer.,fish,"Show 4 fish + 3 fish = 7. Use a plus sign, never 'or'.",,,,,7,Start with 4 fish.,Add 3 more fish.,Count all: 7.,The correct answer is 7.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 fish. Add 3 more fish. Count all: 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q015,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Count & Type,Count all the flowers. Type the answer.,flower,"Show 5 flowers + 3 flowers = 8. Use a plus sign, never 'or'.",,,,,8,Start with 5 flowers.,Add 3 more flowers.,Count all: 8.,The correct answer is 8.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 flowers. Add 3 more flowers. Count all: 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q016,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Count & Type,Count all the ducks. Type the answer.,duck,"Show 6 ducks + 2 ducks = 8. Use a plus sign, never 'or'.",,,,,8,Start with 6 ducks.,Add 2 more ducks.,Count all: 8.,The correct answer is 8.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 6 ducks. Add 2 more ducks. Count all: 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q017,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Count & Type,Count all the leaves. Type the answer.,leaf,"Show 7 leaves + 1 leaf = 8. Use a plus sign, never 'or'.",,,,,8,Start with 7 leaves.,Add 1 more leaves.,Count all: 8.,The correct answer is 8.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 7 leaves. Add 1 more leaves. Count all: 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q018,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Count & Type,Count all the shells. Type the answer.,shell,"Show 4 shells + 4 shells = 8. Use a plus sign, never 'or'.",,,,,8,Start with 4 shells.,Add 4 more shells.,Count all: 8.,The correct answer is 8.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 shells. Add 4 more shells. Count all: 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q019,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 5 + 4 = __.,berry,"Show 5 berries + 4 berries = 9. Use a plus sign, never 'or'.",,,,,9,Start with 5 berries.,Add 4 more berries.,Count all: 9.,The correct answer is 9.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 berries. Add 4 more berries. Count all: 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q020,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 6 + 3 = __.,ball,"Show 6 balls + 3 balls = 9. Use a plus sign, never 'or'.",,,,,9,Start with 6 balls.,Add 3 more balls.,Count all: 9.,The correct answer is 9.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 6 balls. Add 3 more balls. Count all: 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q021,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 2 + 5 = __.,apple,"Show 2 apples + 5 apples = 7. Use a plus sign, never 'or'.",,,,,7,Start with 2 apples.,Add 5 more apples.,Count all: 7.,The correct answer is 7.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 apples. Add 5 more apples. Count all: 7.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q022,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 3 + 5 = __.,star,"Show 3 stars + 5 stars = 8. Use a plus sign, never 'or'.",,,,,8,Start with 3 stars.,Add 5 more stars.,Count all: 8.,The correct answer is 8.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 stars. Add 5 more stars. Count all: 8.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q023,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 7 + 2 = __.,orange,"Show 7 oranges + 2 oranges = 9. Use a plus sign, never 'or'.",,,,,9,Start with 7 oranges.,Add 2 more oranges.,Count all: 9.,The correct answer is 9.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 7 oranges. Add 2 more oranges. Count all: 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q024,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Fill Missing Number,Fill in the missing number: 8 + 1 = __.,fish,"Show 8 fish + 1 fish = 9. Use a plus sign, never 'or'.",,,,,9,Start with 8 fish.,Add 1 more fish.,Count all: 9.,The correct answer is 9.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 8 fish. Add 1 more fish. Count all: 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q025,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 5 flowers plus 5 more flowers.,flower,"Show 5 flowers + 5 flowers = 10. Use a plus sign, never 'or'.",Group A: 9 flowers,Group B: 10 flowers,Group C: 11 flower,,Group B,Start with 5 flowers.,Add 5 more flowers.,Count all: 10.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 5 flowers. Add 5 more flowers. Count all: 10.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q026,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 6 ducks plus 4 more ducks.,duck,"Show 6 ducks + 4 ducks = 10. Use a plus sign, never 'or'.",Group A: 9 ducks,Group B: 10 ducks,Group C: 11 duck,,Group B,Start with 6 ducks.,Add 4 more ducks.,Count all: 10.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 6 ducks. Add 4 more ducks. Count all: 10.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q027,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 7 leaves plus 3 more leaves.,leaf,"Show 7 leaves + 3 leaves = 10. Use a plus sign, never 'or'.",Group A: 9 leaves,Group B: 10 leaves,Group C: 11 leaf,,Group B,Start with 7 leaves.,Add 3 more leaves.,Count all: 10.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 7 leaves. Add 3 more leaves. Count all: 10.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q028,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 8 shells plus 2 more shells.,shell,"Show 8 shells + 2 shells = 10. Use a plus sign, never 'or'.",Group A: 9 shells,Group B: 10 shells,Group C: 11 shell,,Group B,Start with 8 shells.,Add 2 more shells.,Count all: 10.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 8 shells. Add 2 more shells. Count all: 10.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q029,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 9 berries plus 1 more berries.,berry,"Show 9 berries + 1 berry = 10. Use a plus sign, never 'or'.",Group A: 9 berries,Group B: 10 berries,Group C: 11 berry,,Group B,Start with 9 berries.,Add 1 more berries.,Count all: 10.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 9 berries. Add 1 more berries. Count all: 10.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L05-Q030,v1.0,Approved,Mathematics,Year 1,Forest World,Level 05,Addition Practice,Addition within 10,Add two groups of objects within 10.,Medium,Tap Correct Group,Tap the group that shows 4 balls plus 5 more balls.,ball,"Show 4 balls + 5 balls = 9. Use a plus sign, never 'or'.",Group A: 8 balls,Group B: 9 balls,Group C: 10 balls,,Group B,Start with 4 balls.,Add 5 more balls.,Count all: 9.,The correct answer is Group B.,Addition means putting groups together.,No,Both,35,Yes,Let's solve it together. Start with 4 balls. Add 5 more balls. Count all: 9.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
