Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L04-Q001,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,1 apple plus 1 more apples. How many apples altogether?,apple,"Show 1 apple + 1 apple = 2. Use a plus sign, never 'or'.",1,2,3,,2,Start with 1 apple.,Add 1 more apples.,Count all: 2.,The correct answer is 2.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 1 apple. Add 1 more apples. Count all: 2.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q002,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,2 stars plus 1 more stars. How many stars altogether?,star,"Show 2 stars + 1 star = 3. Use a plus sign, never 'or'.",2,3,4,,3,Start with 2 stars.,Add 1 more stars.,Count all: 3.,The correct answer is 3.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 stars. Add 1 more stars. Count all: 3.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q003,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,2 oranges plus 2 more oranges. How many oranges altogether?,orange,"Show 2 oranges + 2 oranges = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 2 oranges.,Add 2 more oranges.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 2 oranges. Add 2 more oranges. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q004,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,3 fish plus 1 more fish. How many fish altogether?,fish,"Show 3 fish + 1 fish = 4. Use a plus sign, never 'or'.",3,4,5,,4,Start with 3 fish.,Add 1 more fish.,Count all: 4.,The correct answer is 4.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 fish. Add 1 more fish. Count all: 4.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q005,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,3 flowers plus 2 more flowers. How many flowers altogether?,flower,"Show 3 flowers + 2 flowers = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 3 flowers.,Add 2 more flowers.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 3 flowers. Add 2 more flowers. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q006,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,4 ducks plus 1 more ducks. How many ducks altogether?,duck,"Show 4 ducks + 1 duck = 5. Use a plus sign, never 'or'.",4,5,6,,5,Start with 4 ducks.,Add 1 more ducks.,Count all: 5.,The correct answer is 5.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 ducks. Add 1 more ducks. Count all: 5.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q007,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,4 leaves plus 2 more leaves. How many leaves altogether?,leaf,"Show 4 leaves + 2 leaves = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 4 leaves.,Add 2 more leaves.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 leaves. Add 2 more leaves. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q008,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,5 shells plus 1 more shells. How many shells altogether?,shell,"Show 5 shells + 1 shell = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 5 shells.,Add 1 more shells.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 shells. Add 1 more shells. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q009,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,4 berries plus 2 more berries. How many berries altogether?,berry,"Show 4 berries + 2 berries = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 4 berries.,Add 2 more berries.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 4 berries. Add 2 more berries. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L04-Q010,v1.0,Approved,Mathematics,Year 1,Forest World,Level 04,Addition Basics,Addition within 6,Add two groups of objects within 6.,Easy,Multiple Choice,5 balls plus 1 more balls. How many balls altogether?,ball,"Show 5 balls + 1 ball = 6. Use a plus sign, never 'or'.",5,6,7,,6,Start with 5 balls.,Add 1 more balls.,Count all: 6.,The correct answer is 6.,Addition means putting groups together.,Yes,Both,35,Yes,Let's solve it together. Start with 5 balls. Add 1 more balls. Count all: 6.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
