Question ID,Question Pool Version,Status,Subject,Year,World,Level,Topic,Subtopic,Learning Objective,Difficulty,Question Type,Question,Visual Object,Visual Description,Option A,Option B,Option C,Option D,Correct Answer,Step 1,Step 2,Step 3,Final Explanation,LearnBot Tip,Assessment Eligible,Curriculum Alignment,Estimated Time (Seconds),Visual Asset Required,Voice Script,Reviewer,Review Status,Review Date,Version Notes
FW-Y1-L07-Q001,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Easy,Tap Correct Group,Tap the group with more apples.,apple,Show Group A with 3 apples and Group B with 5 apples. Use labels.,Group A: 3 apples,Group B: 5 apples,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q002,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Easy,Tap Correct Group,Tap the group with fewer stars.,star,Show Group A with 6 stars and Group B with 2 stars. Use labels.,Group A: 6 stars,Group B: 2 stars,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q003,v1.1,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Easy,True or False,Group A has the same number of ducks as Group B.,duck,Show Group A with 4 ducks and Group B with 4 ducks. Use labels.,TRUE,FALSE,,,TRUE,Count Group A.,Count Group B.,Compare the two totals.,The statement is true because both groups have 4 ducks.,Same means equal amounts.,Yes,Both,30,Yes,Let's solve it together. Count both groups and decide whether the amounts are the same.,,Approved,2026-07-11,v1.1 - Replaced answer Both with True or False
FW-Y1-L07-Q004,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Medium,Tap Correct Group,Tap the group with more flowers.,flower,Show Group A with 7 flowers and Group B with 9 flowers. Use labels.,Group A: 7 flowers,Group B: 9 flowers,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q005,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Medium,Tap Correct Group,Tap the group with fewer fish.,fish,Show Group A with 8 fish and Group B with 5 fish. Use labels.,Group A: 8 fish,Group B: 5 fish,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q006,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Medium,Tap Correct Group,Tap the group with more leaves.,leaf,Show Group A with 10 leaves and Group B with 6 leaves. Use labels.,Group A: 10 leaves,Group B: 6 leaves,,,Group A,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group A.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q007,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Easy,Tap Correct Group,Tap the group with fewer shells.,shell,Show Group A with 1 shell and Group B with 3 shells. Use labels.,Group A: 1 shell,Group B: 3 shells,,,Group A,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group A.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q008,v1.1,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Easy,Multiple Choice,Which group has more berries?,berry,Show Group A with 5 berries and Group B with 8 berries. Use labels.,Group A: 5 berries,Group B: 8 berries,They are the same,,Group B: 8 berries,Count Group A.,Count Group B.,Choose the larger total.,Group B has more berries because 8 is greater than 5.,Compare the totals before choosing.,Yes,Both,35,Yes,Let's solve it together. Count both groups and choose the larger group.,,Approved,2026-07-11,v1.1 - Replaced answer Both with Multiple Choice
FW-Y1-L07-Q009,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Medium,Tap Correct Group,Tap the group with more balls.,ball,Show Group A with 2 balls and Group B with 9 balls. Use labels.,Group A: 2 balls,Group B: 9 balls,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
FW-Y1-L07-Q010,v1.0,Approved,Mathematics,Year 1,Forest World,Level 07,Comparison,"More, fewer, same","Compare groups and numbers using more, fewer, and same.",Medium,Tap Correct Group,Tap the group with fewer birds.,bird,Show Group A with 8 birds and Group B with 4 birds. Use labels.,Group A: 8 birds,Group B: 4 birds,,,Group B,Count Group A.,Count Group B.,Compare the two totals.,The correct answer is Group B.,Compare by counting both groups first.,Yes,Both,35,Yes,Let's solve it together. Count Group A. Count Group B. Compare the two totals.,,Approved,2026-06-26,v1.0 - Mathematics Year 1 Forest complete
